day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0561,88101,3,36.163962,-115.11393,15.9
1,01:00:00,0561,88101,3,36.163962,-115.11393,11.5
1,02:00:00,0561,88101,3,36.163962,-115.11393,10.8
1,03:00:00,0561,88101,3,36.163962,-115.11393,7.3
1,04:00:00,0561,88101,3,36.163962,-115.11393,6.8
1,05:00:00,0561,88101,3,36.163962,-115.11393,16.0
1,06:00:00,0561,88101,3,36.163962,-115.11393,12.1
1,07:00:00,0561,88101,3,36.163962,-115.11393,17.7
1,08:00:00,0561,88101,3,36.163962,-115.11393,11.9
1,09:00:00,0561,88101,3,36.163962,-115.11393,21.5
1,10:00:00,0561,88101,3,36.163962,-115.11393,24.4
1,11:00:00,0561,88101,3,36.163962,-115.11393,27.2
1,12:00:00,0561,88101,3,36.163962,-115.11393,10.2
1,13:00:00,0561,88101,3,36.163962,-115.11393,6.0
1,14:00:00,0561,88101,3,36.163962,-115.11393,5.2
1,15:00:00,0561,88101,3,36.163962,-115.11393,5.7
1,16:00:00,0561,88101,3,36.163962,-115.11393,15.5
1,17:00:00,0561,88101,3,36.163962,-115.11393,9.9
1,18:00:00,0561,88101,3,36.163962,-115.11393,7.7
1,19:00:00,0561,88101,3,36.163962,-115.11393,5.6
1,20:00:00,0561,88101,3,36.163962,-115.11393,3.4
1,21:00:00,0561,88101,3,36.163962,-115.11393,2.1
1,22:00:00,0561,88101,3,36.163962,-115.11393,3.4
1,23:00:00,0561,88101,3,36.163962,-115.11393,5.2
2,00:00:00,0561,88101,3,36.163962,-115.11393,0.7
2,01:00:00,0561,88101,3,36.163962,-115.11393,4.2
2,02:00:00,0561,88101,3,36.163962,-115.11393,11.9
2,03:00:00,0561,88101,3,36.163962,-115.11393,23.5
2,04:00:00,0561,88101,3,36.163962,-115.11393,35.5
2,05:00:00,0561,88101,3,36.163962,-115.11393,23.7
2,06:00:00,0561,88101,3,36.163962,-115.11393,36.8
2,07:00:00,0561,88101,3,36.163962,-115.11393,36.5
2,08:00:00,0561,88101,3,36.163962,-115.11393,38.5
2,09:00:00,0561,88101,3,36.163962,-115.11393,36.7
2,10:00:00,0561,88101,3,36.163962,-115.11393,29.6
2,11:00:00,0561,88101,3,36.163962,-115.11393,20.5
2,12:00:00,0561,88101,3,36.163962,-115.11393,19.9
2,13:00:00,0561,88101,3,36.163962,-115.11393,24.6
2,14:00:00,0561,88101,3,36.163962,-115.11393,16.1
2,15:00:00,0561,88101,3,36.163962,-115.11393,22.0
2,16:00:00,0561,88101,3,36.163962,-115.11393,18.6
2,17:00:00,0561,88101,3,36.163962,-115.11393,13.7
2,18:00:00,0561,88101,3,36.163962,-115.11393,9.3
2,19:00:00,0561,88101,3,36.163962,-115.11393,14.8
2,20:00:00,0561,88101,3,36.163962,-115.11393,3.8
2,21:00:00,0561,88101,3,36.163962,-115.11393,0.6
2,22:00:00,0561,88101,3,36.163962,-115.11393,0.0
2,23:00:00,0561,88101,3,36.163962,-115.11393,2.0
3,00:00:00,0561,88101,3,36.163962,-115.11393,0.0
3,01:00:00,0561,88101,3,36.163962,-115.11393,1.1
3,02:00:00,0561,88101,3,36.163962,-115.11393,24.3
3,03:00:00,0561,88101,3,36.163962,-115.11393,43.5
3,04:00:00,0561,88101,3,36.163962,-115.11393,45.0
3,05:00:00,0561,88101,3,36.163962,-115.11393,47.5
3,06:00:00,0561,88101,3,36.163962,-115.11393,54.0
3,07:00:00,0561,88101,3,36.163962,-115.11393,53.0
3,08:00:00,0561,88101,3,36.163962,-115.11393,54.4
3,09:00:00,0561,88101,3,36.163962,-115.11393,52.7
3,10:00:00,0561,88101,3,36.163962,-115.11393,51.4
3,11:00:00,0561,88101,3,36.163962,-115.11393,52.6
3,12:00:00,0561,88101,3,36.163962,-115.11393,44.9
3,13:00:00,0561,88101,3,36.163962,-115.11393,28.1
3,14:00:00,0561,88101,3,36.163962,-115.11393,22.5
3,15:00:00,0561,88101,3,36.163962,-115.11393,28.6
3,16:00:00,0561,88101,3,36.163962,-115.11393,25.0
3,17:00:00,0561,88101,3,36.163962,-115.11393,14.4
3,18:00:00,0561,88101,3,36.163962,-115.11393,12.7
3,19:00:00,0561,88101,3,36.163962,-115.11393,9.1
3,20:00:00,0561,88101,3,36.163962,-115.11393,11.4
3,21:00:00,0561,88101,3,36.163962,-115.11393,9.4
3,22:00:00,0561,88101,3,36.163962,-115.11393,5.0
3,23:00:00,0561,88101,3,36.163962,-115.11393,5.5
4,00:00:00,0561,88101,3,36.163962,-115.11393,0.8
4,01:00:00,0561,88101,3,36.163962,-115.11393,7.7
4,02:00:00,0561,88101,3,36.163962,-115.11393,25.1
4,03:00:00,0561,88101,3,36.163962,-115.11393,34.1
4,04:00:00,0561,88101,3,36.163962,-115.11393,33.9
4,05:00:00,0561,88101,3,36.163962,-115.11393,24.3
4,06:00:00,0561,88101,3,36.163962,-115.11393,25.0
4,07:00:00,0561,88101,3,36.163962,-115.11393,37.4
4,08:00:00,0561,88101,3,36.163962,-115.11393,37.5
4,09:00:00,0561,88101,3,36.163962,-115.11393,46.3
4,10:00:00,0561,88101,3,36.163962,-115.11393,43.4
4,11:00:00,0561,88101,3,36.163962,-115.11393,46.6
4,12:00:00,0561,88101,3,36.163962,-115.11393,40.3
4,13:00:00,0561,88101,3,36.163962,-115.11393,41.3
4,14:00:00,0561,88101,3,36.163962,-115.11393,38.3
4,15:00:00,0561,88101,3,36.163962,-115.11393,33.8
4,16:00:00,0561,88101,3,36.163962,-115.11393,31.4
4,17:00:00,0561,88101,3,36.163962,-115.11393,28.7
4,18:00:00,0561,88101,3,36.163962,-115.11393,14.4
4,19:00:00,0561,88101,3,36.163962,-115.11393,17.0
4,20:00:00,0561,88101,3,36.163962,-115.11393,3.2
4,21:00:00,0561,88101,3,36.163962,-115.11393,0.6
4,22:00:00,0561,88101,3,36.163962,-115.11393,5.2
4,23:00:00,0561,88101,3,36.163962,-115.11393,4.1
5,00:00:00,0561,88101,3,36.163962,-115.11393,5.0
5,01:00:00,0561,88101,3,36.163962,-115.11393,9.8
5,02:00:00,0561,88101,3,36.163962,-115.11393,22.9
5,03:00:00,0561,88101,3,36.163962,-115.11393,38.3
5,04:00:00,0561,88101,3,36.163962,-115.11393,31.9
5,05:00:00,0561,88101,3,36.163962,-115.11393,27.9
5,06:00:00,0561,88101,3,36.163962,-115.11393,37.6
5,07:00:00,0561,88101,3,36.163962,-115.11393,43.2
5,08:00:00,0561,88101,3,36.163962,-115.11393,51.6
5,09:00:00,0561,88101,3,36.163962,-115.11393,51.1
5,10:00:00,0561,88101,3,36.163962,-115.11393,36.1
5,11:00:00,0561,88101,3,36.163962,-115.11393,34.3
5,12:00:00,0561,88101,3,36.163962,-115.11393,34.8
5,13:00:00,0561,88101,3,36.163962,-115.11393,33.0
5,14:00:00,0561,88101,3,36.163962,-115.11393,32.1
5,15:00:00,0561,88101,3,36.163962,-115.11393,36.1
5,16:00:00,0561,88101,3,36.163962,-115.11393,19.6
5,17:00:00,0561,88101,3,36.163962,-115.11393,17.3
5,18:00:00,0561,88101,3,36.163962,-115.11393,27.2
5,19:00:00,0561,88101,3,36.163962,-115.11393,25.6
5,20:00:00,0561,88101,3,36.163962,-115.11393,14.7
5,21:00:00,0561,88101,3,36.163962,-115.11393,6.7
5,22:00:00,0561,88101,3,36.163962,-115.11393,4.2
5,23:00:00,0561,88101,3,36.163962,-115.11393,6.5
6,00:00:00,0561,88101,3,36.163962,-115.11393,6.5
6,01:00:00,0561,88101,3,36.163962,-115.11393,16.5
6,02:00:00,0561,88101,3,36.163962,-115.11393,24.8
6,03:00:00,0561,88101,3,36.163962,-115.11393,30.0
6,04:00:00,0561,88101,3,36.163962,-115.11393,29.2
6,05:00:00,0561,88101,3,36.163962,-115.11393,35.4
6,06:00:00,0561,88101,3,36.163962,-115.11393,28.5
6,07:00:00,0561,88101,3,36.163962,-115.11393,29.2
6,08:00:00,0561,88101,3,36.163962,-115.11393,34.1
6,09:00:00,0561,88101,3,36.163962,-115.11393,28.8
6,10:00:00,0561,88101,3,36.163962,-115.11393,35.4
6,11:00:00,0561,88101,3,36.163962,-115.11393,29.6
6,12:00:00,0561,88101,3,36.163962,-115.11393,31.2
6,13:00:00,0561,88101,3,36.163962,-115.11393,27.3
6,14:00:00,0561,88101,3,36.163962,-115.11393,25.9
6,15:00:00,0561,88101,3,36.163962,-115.11393,29.2
6,16:00:00,0561,88101,3,36.163962,-115.11393,36.8
6,17:00:00,0561,88101,3,36.163962,-115.11393,27.4
6,18:00:00,0561,88101,3,36.163962,-115.11393,19.5
6,19:00:00,0561,88101,3,36.163962,-115.11393,12.5
6,20:00:00,0561,88101,3,36.163962,-115.11393,5.6
6,21:00:00,0561,88101,3,36.163962,-115.11393,6.2
6,22:00:00,0561,88101,3,36.163962,-115.11393,8.4
6,23:00:00,0561,88101,3,36.163962,-115.11393,5.7
7,00:00:00,0561,88101,3,36.163962,-115.11393,8.5
7,01:00:00,0561,88101,3,36.163962,-115.11393,18.1
7,02:00:00,0561,88101,3,36.163962,-115.11393,30.0
7,03:00:00,0561,88101,3,36.163962,-115.11393,33.5
7,04:00:00,0561,88101,3,36.163962,-115.11393,31.6
7,05:00:00,0561,88101,3,36.163962,-115.11393,32.5
7,06:00:00,0561,88101,3,36.163962,-115.11393,28.2
7,07:00:00,0561,88101,3,36.163962,-115.11393,19.9
7,08:00:00,0561,88101,3,36.163962,-115.11393,8.5
7,09:00:00,0561,88101,3,36.163962,-115.11393,18.5
7,10:00:00,0561,88101,3,36.163962,-115.11393,29.4
7,11:00:00,0561,88101,3,36.163962,-115.11393,20.8
7,12:00:00,0561,88101,3,36.163962,-115.11393,13.7
7,13:00:00,0561,88101,3,36.163962,-115.11393,10.1
7,14:00:00,0561,88101,3,36.163962,-115.11393,14.5
7,15:00:00,0561,88101,3,36.163962,-115.11393,18.9
7,16:00:00,0561,88101,3,36.163962,-115.11393,21.0
7,17:00:00,0561,88101,3,36.163962,-115.11393,21.9
7,22:00:00,0561,88101,3,36.163962,-115.11393,11.6
7,23:00:00,0561,88101,3,36.163962,-115.11393,6.8
8,00:00:00,0561,88101,3,36.163962,-115.11393,9.4
8,01:00:00,0561,88101,3,36.163962,-115.11393,15.3
8,02:00:00,0561,88101,3,36.163962,-115.11393,25.4
8,03:00:00,0561,88101,3,36.163962,-115.11393,33.8
8,04:00:00,0561,88101,3,36.163962,-115.11393,25.6
8,05:00:00,0561,88101,3,36.163962,-115.11393,26.8
8,06:00:00,0561,88101,3,36.163962,-115.11393,34.3
8,07:00:00,0561,88101,3,36.163962,-115.11393,29.3
8,08:00:00,0561,88101,3,36.163962,-115.11393,36.0
8,09:00:00,0561,88101,3,36.163962,-115.11393,22.3
8,10:00:00,0561,88101,3,36.163962,-115.11393,15.0
8,11:00:00,0561,88101,3,36.163962,-115.11393,21.0
8,12:00:00,0561,88101,3,36.163962,-115.11393,15.5
8,13:00:00,0561,88101,3,36.163962,-115.11393,11.6
8,14:00:00,0561,88101,3,36.163962,-115.11393,11.8
8,15:00:00,0561,88101,3,36.163962,-115.11393,19.5
8,16:00:00,0561,88101,3,36.163962,-115.11393,8.3
8,17:00:00,0561,88101,3,36.163962,-115.11393,18.2
8,18:00:00,0561,88101,3,36.163962,-115.11393,20.4
8,19:00:00,0561,88101,3,36.163962,-115.11393,18.9
8,20:00:00,0561,88101,3,36.163962,-115.11393,2.0
8,21:00:00,0561,88101,3,36.163962,-115.11393,0.3
8,22:00:00,0561,88101,3,36.163962,-115.11393,1.0
8,23:00:00,0561,88101,3,36.163962,-115.11393,0.2
9,00:00:00,0561,88101,3,36.163962,-115.11393,1.4
9,01:00:00,0561,88101,3,36.163962,-115.11393,8.7
9,02:00:00,0561,88101,3,36.163962,-115.11393,16.9
9,03:00:00,0561,88101,3,36.163962,-115.11393,21.4
9,04:00:00,0561,88101,3,36.163962,-115.11393,23.1
9,05:00:00,0561,88101,3,36.163962,-115.11393,23.9
9,06:00:00,0561,88101,3,36.163962,-115.11393,24.4
9,07:00:00,0561,88101,3,36.163962,-115.11393,24.2
9,08:00:00,0561,88101,3,36.163962,-115.11393,29.6
9,09:00:00,0561,88101,3,36.163962,-115.11393,31.7
9,10:00:00,0561,88101,3,36.163962,-115.11393,27.8
9,11:00:00,0561,88101,3,36.163962,-115.11393,23.1
9,12:00:00,0561,88101,3,36.163962,-115.11393,18.2
9,13:00:00,0561,88101,3,36.163962,-115.11393,17.8
9,14:00:00,0561,88101,3,36.163962,-115.11393,15.4
9,15:00:00,0561,88101,3,36.163962,-115.11393,24.3
9,16:00:00,0561,88101,3,36.163962,-115.11393,33.6
9,17:00:00,0561,88101,3,36.163962,-115.11393,31.9
9,18:00:00,0561,88101,3,36.163962,-115.11393,19.4
9,19:00:00,0561,88101,3,36.163962,-115.11393,12.0
9,20:00:00,0561,88101,3,36.163962,-115.11393,3.2
9,21:00:00,0561,88101,3,36.163962,-115.11393,2.0
9,22:00:00,0561,88101,3,36.163962,-115.11393,2.0
9,23:00:00,0561,88101,3,36.163962,-115.11393,2.8
10,00:00:00,0561,88101,3,36.163962,-115.11393,22.7
