day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,3201,88101,3,45.20916,-93.66921,14.0
1,01:00:00,3201,88101,3,45.20916,-93.66921,11.0
1,02:00:00,3201,88101,3,45.20916,-93.66921,10.0
1,03:00:00,3201,88101,3,45.20916,-93.66921,8.0
1,04:00:00,3201,88101,3,45.20916,-93.66921,12.0
1,05:00:00,3201,88101,3,45.20916,-93.66921,12.0
1,06:00:00,3201,88101,3,45.20916,-93.66921,4.0
1,07:00:00,3201,88101,3,45.20916,-93.66921,3.0
1,08:00:00,3201,88101,3,45.20916,-93.66921,3.0
1,09:00:00,3201,88101,3,45.20916,-93.66921,5.0
1,10:00:00,3201,88101,3,45.20916,-93.66921,6.0
1,11:00:00,3201,88101,3,45.20916,-93.66921,4.0
1,12:00:00,3201,88101,3,45.20916,-93.66921,2.0
1,13:00:00,3201,88101,3,45.20916,-93.66921,2.0
1,14:00:00,3201,88101,3,45.20916,-93.66921,3.0
1,15:00:00,3201,88101,3,45.20916,-93.66921,2.0
1,16:00:00,3201,88101,3,45.20916,-93.66921,2.0
1,17:00:00,3201,88101,3,45.20916,-93.66921,2.0
1,18:00:00,3201,88101,3,45.20916,-93.66921,4.0
1,19:00:00,3201,88101,3,45.20916,-93.66921,6.0
1,20:00:00,3201,88101,3,45.20916,-93.66921,6.0
1,21:00:00,3201,88101,3,45.20916,-93.66921,5.0
1,22:00:00,3201,88101,3,45.20916,-93.66921,5.0
1,23:00:00,3201,88101,3,45.20916,-93.66921,7.0
2,00:00:00,3201,88101,3,45.20916,-93.66921,9.0
2,01:00:00,3201,88101,3,45.20916,-93.66921,7.0
2,02:00:00,3201,88101,3,45.20916,-93.66921,4.0
2,03:00:00,3201,88101,3,45.20916,-93.66921,5.0
2,04:00:00,3201,88101,3,45.20916,-93.66921,5.0
2,05:00:00,3201,88101,3,45.20916,-93.66921,7.0
2,06:00:00,3201,88101,3,45.20916,-93.66921,5.0
2,07:00:00,3201,88101,3,45.20916,-93.66921,5.0
2,08:00:00,3201,88101,3,45.20916,-93.66921,5.0
2,09:00:00,3201,88101,3,45.20916,-93.66921,3.0
2,10:00:00,3201,88101,3,45.20916,-93.66921,2.0
2,11:00:00,3201,88101,3,45.20916,-93.66921,6.0
2,12:00:00,3201,88101,3,45.20916,-93.66921,5.0
2,13:00:00,3201,88101,3,45.20916,-93.66921,4.0
2,14:00:00,3201,88101,3,45.20916,-93.66921,2.0
2,15:00:00,3201,88101,3,45.20916,-93.66921,2.0
2,16:00:00,3201,88101,3,45.20916,-93.66921,4.0
2,17:00:00,3201,88101,3,45.20916,-93.66921,2.0
2,18:00:00,3201,88101,3,45.20916,-93.66921,-1.0
2,19:00:00,3201,88101,3,45.20916,-93.66921,4.0
2,20:00:00,3201,88101,3,45.20916,-93.66921,3.0
2,21:00:00,3201,88101,3,45.20916,-93.66921,4.0
2,22:00:00,3201,88101,3,45.20916,-93.66921,7.0
2,23:00:00,3201,88101,3,45.20916,-93.66921,5.0
3,00:00:00,3201,88101,3,45.20916,-93.66921,4.0
3,01:00:00,3201,88101,3,45.20916,-93.66921,6.0
3,02:00:00,3201,88101,3,45.20916,-93.66921,6.0
3,03:00:00,3201,88101,3,45.20916,-93.66921,6.0
3,04:00:00,3201,88101,3,45.20916,-93.66921,6.0
3,05:00:00,3201,88101,3,45.20916,-93.66921,6.0
3,06:00:00,3201,88101,3,45.20916,-93.66921,4.0
3,07:00:00,3201,88101,3,45.20916,-93.66921,3.0
3,08:00:00,3201,88101,3,45.20916,-93.66921,7.0
3,09:00:00,3201,88101,3,45.20916,-93.66921,8.0
3,10:00:00,3201,88101,3,45.20916,-93.66921,11.0
3,11:00:00,3201,88101,3,45.20916,-93.66921,10.0
3,12:00:00,3201,88101,3,45.20916,-93.66921,10.0
3,13:00:00,3201,88101,3,45.20916,-93.66921,12.0
3,14:00:00,3201,88101,3,45.20916,-93.66921,17.0
3,15:00:00,3201,88101,3,45.20916,-93.66921,16.0
3,16:00:00,3201,88101,3,45.20916,-93.66921,15.0
3,17:00:00,3201,88101,3,45.20916,-93.66921,14.0
3,18:00:00,3201,88101,3,45.20916,-93.66921,17.0
3,19:00:00,3201,88101,3,45.20916,-93.66921,12.0
3,20:00:00,3201,88101,3,45.20916,-93.66921,16.0
3,21:00:00,3201,88101,3,45.20916,-93.66921,15.0
3,22:00:00,3201,88101,3,45.20916,-93.66921,14.0
3,23:00:00,3201,88101,3,45.20916,-93.66921,10.0
4,00:00:00,3201,88101,3,45.20916,-93.66921,6.0
4,01:00:00,3201,88101,3,45.20916,-93.66921,6.0
4,02:00:00,3201,88101,3,45.20916,-93.66921,7.0
4,03:00:00,3201,88101,3,45.20916,-93.66921,6.0
4,04:00:00,3201,88101,3,45.20916,-93.66921,5.0
4,05:00:00,3201,88101,3,45.20916,-93.66921,2.0
4,06:00:00,3201,88101,3,45.20916,-93.66921,3.0
4,07:00:00,3201,88101,3,45.20916,-93.66921,3.0
4,08:00:00,3201,88101,3,45.20916,-93.66921,3.0
4,09:00:00,3201,88101,3,45.20916,-93.66921,3.0
4,10:00:00,3201,88101,3,45.20916,-93.66921,4.0
4,11:00:00,3201,88101,3,45.20916,-93.66921,6.0
4,12:00:00,3201,88101,3,45.20916,-93.66921,7.0
4,13:00:00,3201,88101,3,45.20916,-93.66921,6.0
4,14:00:00,3201,88101,3,45.20916,-93.66921,4.0
4,15:00:00,3201,88101,3,45.20916,-93.66921,5.0
4,16:00:00,3201,88101,3,45.20916,-93.66921,4.0
4,17:00:00,3201,88101,3,45.20916,-93.66921,4.0
4,18:00:00,3201,88101,3,45.20916,-93.66921,7.0
4,19:00:00,3201,88101,3,45.20916,-93.66921,7.0
4,20:00:00,3201,88101,3,45.20916,-93.66921,4.0
4,21:00:00,3201,88101,3,45.20916,-93.66921,4.0
4,22:00:00,3201,88101,3,45.20916,-93.66921,5.0
4,23:00:00,3201,88101,3,45.20916,-93.66921,4.0
5,00:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,01:00:00,3201,88101,3,45.20916,-93.66921,4.0
5,02:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,03:00:00,3201,88101,3,45.20916,-93.66921,8.0
5,04:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,05:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,06:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,07:00:00,3201,88101,3,45.20916,-93.66921,4.0
5,08:00:00,3201,88101,3,45.20916,-93.66921,7.0
5,09:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,10:00:00,3201,88101,3,45.20916,-93.66921,9.0
5,11:00:00,3201,88101,3,45.20916,-93.66921,6.0
5,12:00:00,3201,88101,3,45.20916,-93.66921,6.0
5,13:00:00,3201,88101,3,45.20916,-93.66921,9.0
5,14:00:00,3201,88101,3,45.20916,-93.66921,9.0
5,15:00:00,3201,88101,3,45.20916,-93.66921,6.0
5,16:00:00,3201,88101,3,45.20916,-93.66921,5.0
5,17:00:00,3201,88101,3,45.20916,-93.66921,7.0
5,18:00:00,3201,88101,3,45.20916,-93.66921,6.0
5,19:00:00,3201,88101,3,45.20916,-93.66921,8.0
5,20:00:00,3201,88101,3,45.20916,-93.66921,13.0
5,21:00:00,3201,88101,3,45.20916,-93.66921,10.0
5,22:00:00,3201,88101,3,45.20916,-93.66921,12.0
5,23:00:00,3201,88101,3,45.20916,-93.66921,10.0
6,00:00:00,3201,88101,3,45.20916,-93.66921,11.0
6,01:00:00,3201,88101,3,45.20916,-93.66921,9.0
6,02:00:00,3201,88101,3,45.20916,-93.66921,7.0
6,03:00:00,3201,88101,3,45.20916,-93.66921,11.0
6,04:00:00,3201,88101,3,45.20916,-93.66921,12.0
6,05:00:00,3201,88101,3,45.20916,-93.66921,15.0
6,06:00:00,3201,88101,3,45.20916,-93.66921,13.0
6,07:00:00,3201,88101,3,45.20916,-93.66921,11.0
6,08:00:00,3201,88101,3,45.20916,-93.66921,12.0
6,09:00:00,3201,88101,3,45.20916,-93.66921,13.0
6,10:00:00,3201,88101,3,45.20916,-93.66921,14.0
6,11:00:00,3201,88101,3,45.20916,-93.66921,11.0
6,12:00:00,3201,88101,3,45.20916,-93.66921,13.0
6,13:00:00,3201,88101,3,45.20916,-93.66921,8.0
6,14:00:00,3201,88101,3,45.20916,-93.66921,7.0
6,15:00:00,3201,88101,3,45.20916,-93.66921,8.0
6,16:00:00,3201,88101,3,45.20916,-93.66921,9.0
6,17:00:00,3201,88101,3,45.20916,-93.66921,6.0
6,18:00:00,3201,88101,3,45.20916,-93.66921,6.0
6,19:00:00,3201,88101,3,45.20916,-93.66921,8.0
6,20:00:00,3201,88101,3,45.20916,-93.66921,8.0
6,21:00:00,3201,88101,3,45.20916,-93.66921,10.0
6,22:00:00,3201,88101,3,45.20916,-93.66921,8.0
6,23:00:00,3201,88101,3,45.20916,-93.66921,8.0
7,00:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,01:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,02:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,03:00:00,3201,88101,3,45.20916,-93.66921,8.0
7,04:00:00,3201,88101,3,45.20916,-93.66921,14.0
7,05:00:00,3201,88101,3,45.20916,-93.66921,12.0
7,06:00:00,3201,88101,3,45.20916,-93.66921,11.0
7,07:00:00,3201,88101,3,45.20916,-93.66921,7.0
7,08:00:00,3201,88101,3,45.20916,-93.66921,7.0
7,09:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,10:00:00,3201,88101,3,45.20916,-93.66921,8.0
7,11:00:00,3201,88101,3,45.20916,-93.66921,9.0
7,12:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,13:00:00,3201,88101,3,45.20916,-93.66921,5.0
7,14:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,15:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,16:00:00,3201,88101,3,45.20916,-93.66921,8.0
7,17:00:00,3201,88101,3,45.20916,-93.66921,8.0
7,18:00:00,3201,88101,3,45.20916,-93.66921,5.0
7,19:00:00,3201,88101,3,45.20916,-93.66921,3.0
7,20:00:00,3201,88101,3,45.20916,-93.66921,2.0
7,21:00:00,3201,88101,3,45.20916,-93.66921,2.0
7,22:00:00,3201,88101,3,45.20916,-93.66921,6.0
7,23:00:00,3201,88101,3,45.20916,-93.66921,5.0
8,00:00:00,3201,88101,3,45.20916,-93.66921,6.0
8,01:00:00,3201,88101,3,45.20916,-93.66921,6.0
8,02:00:00,3201,88101,3,45.20916,-93.66921,5.0
8,03:00:00,3201,88101,3,45.20916,-93.66921,4.0
8,04:00:00,3201,88101,3,45.20916,-93.66921,6.0
8,05:00:00,3201,88101,3,45.20916,-93.66921,5.0
8,06:00:00,3201,88101,3,45.20916,-93.66921,4.0
8,07:00:00,3201,88101,3,45.20916,-93.66921,6.0
8,08:00:00,3201,88101,3,45.20916,-93.66921,4.0
8,09:00:00,3201,88101,3,45.20916,-93.66921,5.0
8,10:00:00,3201,88101,3,45.20916,-93.66921,5.0
8,11:00:00,3201,88101,3,45.20916,-93.66921,3.0
8,12:00:00,3201,88101,3,45.20916,-93.66921,2.0
8,13:00:00,3201,88101,3,45.20916,-93.66921,4.0
8,14:00:00,3201,88101,3,45.20916,-93.66921,5.0
8,15:00:00,3201,88101,3,45.20916,-93.66921,7.0
8,16:00:00,3201,88101,3,45.20916,-93.66921,7.0
8,17:00:00,3201,88101,3,45.20916,-93.66921,8.0
8,20:00:00,3201,88101,3,45.20916,-93.66921,14.0
8,21:00:00,3201,88101,3,45.20916,-93.66921,10.0
8,22:00:00,3201,88101,3,45.20916,-93.66921,8.0
8,23:00:00,3201,88101,3,45.20916,-93.66921,21.0
9,00:00:00,3201,88101,3,45.20916,-93.66921,7.0
9,01:00:00,3201,88101,3,45.20916,-93.66921,7.0
9,02:00:00,3201,88101,3,45.20916,-93.66921,5.0
9,03:00:00,3201,88101,3,45.20916,-93.66921,8.0
9,04:00:00,3201,88101,3,45.20916,-93.66921,6.0
9,05:00:00,3201,88101,3,45.20916,-93.66921,2.0
9,06:00:00,3201,88101,3,45.20916,-93.66921,-4.0
9,07:00:00,3201,88101,3,45.20916,-93.66921,-5.0
9,08:00:00,3201,88101,3,45.20916,-93.66921,1.0
9,09:00:00,3201,88101,3,45.20916,-93.66921,1.0
9,10:00:00,3201,88101,3,45.20916,-93.66921,6.0
9,11:00:00,3201,88101,3,45.20916,-93.66921,5.0
9,12:00:00,3201,88101,3,45.20916,-93.66921,3.0
9,13:00:00,3201,88101,3,45.20916,-93.66921,7.0
9,14:00:00,3201,88101,3,45.20916,-93.66921,6.0
9,15:00:00,3201,88101,3,45.20916,-93.66921,5.0
9,16:00:00,3201,88101,3,45.20916,-93.66921,4.0
9,17:00:00,3201,88101,3,45.20916,-93.66921,5.0
9,18:00:00,3201,88101,3,45.20916,-93.66921,5.0
9,19:00:00,3201,88101,3,45.20916,-93.66921,6.0
9,20:00:00,3201,88101,3,45.20916,-93.66921,6.0
9,21:00:00,3201,88101,3,45.20916,-93.66921,5.0
9,22:00:00,3201,88101,3,45.20916,-93.66921,4.0
9,23:00:00,3201,88101,3,45.20916,-93.66921,5.0
10,00:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,01:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,02:00:00,3201,88101,3,45.20916,-93.66921,20.0
10,03:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,04:00:00,3201,88101,3,45.20916,-93.66921,4.0
10,05:00:00,3201,88101,3,45.20916,-93.66921,3.0
10,06:00:00,3201,88101,3,45.20916,-93.66921,4.0
10,07:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,08:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,09:00:00,3201,88101,3,45.20916,-93.66921,9.0
10,10:00:00,3201,88101,3,45.20916,-93.66921,7.0
10,11:00:00,3201,88101,3,45.20916,-93.66921,4.0
10,12:00:00,3201,88101,3,45.20916,-93.66921,5.0
10,13:00:00,3201,88101,3,45.20916,-93.66921,3.0
10,14:00:00,3201,88101,3,45.20916,-93.66921,2.0
10,15:00:00,3201,88101,3,45.20916,-93.66921,4.0
10,16:00:00,3201,88101,3,45.20916,-93.66921,4.0
10,17:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,18:00:00,3201,88101,3,45.20916,-93.66921,4.0
10,19:00:00,3201,88101,3,45.20916,-93.66921,2.0
10,20:00:00,3201,88101,3,45.20916,-93.66921,3.0
10,21:00:00,3201,88101,3,45.20916,-93.66921,6.0
10,22:00:00,3201,88101,3,45.20916,-93.66921,5.0
10,23:00:00,3201,88101,3,45.20916,-93.66921,21.0
11,00:00:00,3201,88101,3,45.20916,-93.66921,12.0
11,01:00:00,3201,88101,3,45.20916,-93.66921,20.0
11,02:00:00,3201,88101,3,45.20916,-93.66921,11.0
11,03:00:00,3201,88101,3,45.20916,-93.66921,13.0
11,04:00:00,3201,88101,3,45.20916,-93.66921,12.0
11,05:00:00,3201,88101,3,45.20916,-93.66921,11.0
11,06:00:00,3201,88101,3,45.20916,-93.66921,11.0
11,07:00:00,3201,88101,3,45.20916,-93.66921,10.0
11,08:00:00,3201,88101,3,45.20916,-93.66921,9.0
11,09:00:00,3201,88101,3,45.20916,-93.66921,9.0
